site_name,transmission_catchment,catchment_confidence,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags
Blackwater Hybrid System,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Blackwater,270.0,Solar PV - Single axis tracking,Solar - Solar,Blackwater Project Nominees Pty Ltd as trustee for the Blackwater Project Trust,tier_3,2,stale_proposed_4plus_releases
Blackwater Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Blackwater,270.0,,Solar PV,Total Eren,tier_3,0,
Blair Athol Solar Power Station,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Blair Athol,60.0,Solar PV - Fixed,Solar,TerraCom Ltd,tier_3,2,stale_proposed_4plus_releases
Blenheim BESS - KCI,Unclassified,review,No rule matched — manual review needed,,29.25,Storage - Battery,Solar - Solar, Gatton Solar Farm Pty Ltd,tier_3,0,
Blenheim Solar Farm,Unclassified,review,No rule matched — manual review needed,,106.0,,Solar,Gatton Solar Farm Pty Ltd ,tier_3,2,stale_proposed_4plus_releases
Blenheim Solar Farm - KCI,Unclassified,review,No rule matched — manual review needed,,106.0,Solar PV - Fixed,Solar - Solar, Gatton Solar Farm Pty Ltd,tier_3,0,
Bluegrass Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bluegrass,148.0,Solar PV - Single axis tracking,Solar,X-Elio Australia Pty Ltd,tier_1,0,
Bluff Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bluff Solar,85.0,Solar PV - Fixed,Solar,Iberdrola Australia Development Pty Ltd,tier_1,1,stale_proposed_4plus_releases
Bogandilla Wind Farm,WD,medium,Western Downs region (judgement call),Bogandilla,530.0,Wind Turbine - Onshore,Wind - Wind,RES Australia Pty Ltd,tier_1,0,
Boma Solar Farm,DD,high,Darling Downs corridor (Dalby/Bell),Boma Solar,15.0,Solar PV - Single axis tracking,Solar,Solis Industria,tier_3,2,stale_proposed_4plus_releases
Boomber Green Energy Hub,WG,high,Woolooga corridor (Gympie/Maryborough),Boomber,1185.6,Wind Turbine - Onshore,Wind - Wind,Boomer Green Energy Hub Pty Ltd (a subsidiary of the Ark Energy Group),tier_2,2,manual_known_phantom
Boomer Green Energy Hub,WG,high,Woolooga corridor (Gympie/Maryborough),Boomer,800.0,Other - Other,Other - Other,ARK Energy Corporation Pty Ltd,tier_2,0,
Borumba,WG,high,Woolooga corridor (Gympie/Maryborough),Borumba,2000.0,Storage - Pumped hydro,Water,Queensland Hydro,tier_1,0,
Borumba Dam Pumped Hydro Energy Storage,WG,high,Woolooga corridor (Gympie/Maryborough),Borumba,1000.0,Storage - Pumped hydro,Water,,unknown,0,
Borumba Pumped Hydro,WG,high,Woolooga corridor (Gympie/Maryborough),Borumba,1998.0,Storage - Pumped hydro,Hydro - Water,Queensland Hydro,tier_1,0,
Boulder Creek Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Boulder Creek,372.0,Wind Turbine - Onshore,Wind,Boulder Creek Wind Farm Pty Ltd as trustee for BCWF Unit Trust ABN and BCWF 2 Pty Limited ,tier_3,0,
Boulder Creek Wind Farm with BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Boulder Creek,466.0,,Wind,Epuron Projects Pty Ltd,tier_3,0,
Bouldercombe Battery,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,100.0,Storage - Battery,Other,Genex Power Limited,tier_1,0,
Bouldercombe Battery project,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,50.0,Storage - Battery,Other,Genex Power Limited,tier_1,0,
Bouldercombe Battery project - Stage 2 - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,50.0,Storage - Battery,Other - Other,Genex Power Limited,tier_1,0,
Bouldercombe North BESS - Quintas,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,400.0,Storage - Battery,Other - Other,Bouldercombe North BESS Pty Ltd,tier_3,0,
Bouldercombe Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,200.0,Solar PV - Fixed,Solar,EEW Eco Energy World Ltd,tier_3,2,stale_proposed_4plus_releases
Bouldercombe Solar Farm + BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,286.0,,Solar,ENEL Green Power Australia Pty Ltd,tier_1,1,stale_proposed_4plus_releases
Bouldercombe Solar Farm - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,286.0,Solar PV - Fixed,Solar - Solar, ENEL Green Power Australia Pty Ltd,tier_1,0,
Bouldercombe Solar Farm BESS - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,150.0,Storage - Battery,Solar - Solar, ENEL Green Power Australia Pty Ltd,tier_1,0,
Bowen Basin Sun Farm - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bowen,130.0,Solar PV - Fixed,Solar - Solar,Bowen Basin Sun Farm Pty Ltd,tier_3,0,
Bowen PHES,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bowen,750.0,Storage - Pumped hydro,Water,Blue Hydro Project Pty Ltd,tier_3,1,large_tier3
Bowen PHES - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bowen,750.0,Hydro - Dam,Hydro - Water, Blue Hydro Project Pty Ltd,tier_3,1,large_tier3
Bracewell Energy Park,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bracewell,500.11,Solar PV - Single axis tracking,Solar - Solar,TE H2 Australia,tier_1,0,
Bracewell Energy Project,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Bracewell,500.11,Solar PV - Single axis tracking,Solar - Solar,TotalEnergies Renewables Australia,tier_3,1,large_tier3
Braemar,DD,medium,DD region (Dalby corridor — judgement call),Braemar,188.0,Turbine - OCGT,Coal Seam Methane,Braemar Power Project Pty Ltd,tier_3,0,
Braemar 2 Power Station,DD,medium,DD region (Dalby corridor — judgement call),Braemar,173.0,Turbine - OCGT,Coal Seam Methane,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,tier_3,0,
Braemar BESS,DD,medium,DD region (Dalby corridor — judgement call),Braemar,500.0,Storage - Battery,Other - Other,Braemar Power Project Pty Ltd,tier_3,1,large_tier3
Brampton Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Brampton,58.0,Wind Turbine - Onshore,Wind - Wind,Edify Energy Pty Ltd,tier_2,0,
Bremer Battery 1,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Bremer,212.0,Storage - Battery,Other - Other,Libra Energy Pty Ltd,tier_3,0,
Bremer Battery 2,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Bremer,212.0,Storage - Battery,Other - Other,Libra Energy Pty Ltd,tier_3,0,
Bremer Battery 3,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Bremer,212.0,Storage - Battery,Other - Other,Libra Energy Pty Ltd,tier_3,0,
Bremer Battery 4,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Bremer,212.0,Storage - Battery,Other - Other,Libra Energy Pty Ltd,tier_3,0,
Brendale BESS,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Brendale,204.96,Storage - Battery,Other - Other,Brendale Battery ProjectCo Pty Lt,tier_3,0,
Brigalow GT (Kogan Creek GT),WD,high,WD substation/Chinchilla corridor,Kogan Creek,400.0,Turbine - OCGT,Fossil - Natural Gas,CSE H2 Pty Ltd,tier_3,0,
Broadlea Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Broadlea,90.0,Solar PV - Single axis tracking,Solar,EEW Eco Energy World,tier_3,2,stale_proposed_4plus_releases
Broadsound Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Broadsound,400.0,Solar PV - Single axis tracking,Solar - Solar,Broadsound Solar Farm Pty Ltd,tier_3,0,
Broadsound_BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Broadsound,240.0,Storage - Battery,Other - Other,Broadsound Solar Farm Pty Ltd,tier_3,0,
Brooyer BESS,WG,high,Woolooga corridor (Gympie/Maryborough),Brooyer,250.0,,Storage,Res Group,tier_3,0,
Browns Plains,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Browns Plains,1.15,Reciprocating Engine - Spark ignition,Landfill Gas,EDL LFG (Qld) Pty Ltd,tier_3,0,
Bulli Creek BESS (Trina),SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,450.0,Storage - Battery,Other - Other,Bulli Creek Hybrid Nominee Pty Ltd on behalf of Bulli Creek Hybrid Trust,tier_3,0,
Bulli Creek Battery,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,400.0,Storage - Battery,Other - Other,Genex Power Limited,tier_1,0,
Bulli Creek Solar Farm,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,1476.0,Solar PV - Single axis tracking,Solar,Genex Power Limited,tier_1,1,stale_proposed_4plus_releases
Bulli Creek Solar Farm (Trina),SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,450.0,Solar PV - Fixed,Solar - Solar,Bulli Creek Hybrid Nominee Pty Ltd on behalf of Bulli Creek Hybrid Trust,tier_3,0,
Bulli Creek Solar Farm – Future Stages,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,1025.0,Solar PV - Single axis tracking,Solar,Solar Choice Pty Ltd,tier_3,1,large_tier3
Bulli Creek Solar Farm – Stage 1,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,475.0,Solar PV - Single axis tracking,Solar,Solar Choice Pty Ltd,tier_3,0,
Bullyard Solar Farm,Unclassified,review,No rule matched — manual review needed,,97.0,Solar PV - Single axis tracking,Solar,EE Solar 9 Pty Ltd as trustee for the EE Solar 9 Trust,tier_3,0,
Bundaberg Renewable Energy Park,WG,medium,Wide Bay region (judgement call),Bundaberg,500.0,Storage - Battery,Other - Other,Bundaberg Renewable Energy Park,tier_3,2,manual_known_phantom
Bundaberg Solar Farm,WG,medium,Wide Bay region (judgement call),Bundaberg,78.0,Solar PV - Single axis tracking,Solar - Solar,Bundaberg Development Pty Ltd,tier_3,0,
Bungaban BESS,DD,high,Darling Downs corridor (Dalby/Bell),Bungaban,350.0,Storage - Battery,Other - Other,Windlab Developments Pty Ltd,tier_2,0,
Bungaban Wind Farm,DD,high,Darling Downs corridor (Dalby/Bell),Bungaban,1400.0,Wind Turbine - Onshore,Wind - Wind, Windlab Developments Pty Ltd,tier_2,2,stale_proposed_4plus_releases
Bunkers Hill Pumped Hydro,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bunkers Hill Pumped,296.0,Hydro - Dam,Hydro - Water,Pacific Hydro,tier_3,0,
Bunkers Hill Wind Farm,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bunkers Hill Wind,500.0,Wind Turbine - Onshore,Wind - Wind,Pacific Hydro,tier_3,1,large_tier3
Burdekin BESS,FNQ,high,FNQ corridor (Townsville and north),Burdekin,500.4,Storage - Battery,Other - Other,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,tier_3,1,large_tier3
Burdekin Solar Farm,FNQ,high,FNQ corridor (Townsville and north),Burdekin,140.0,,Solar,Ace Power,tier_3,0,
Burdekin Solar Farm - KCI,FNQ,high,FNQ corridor (Townsville and north),Burdekin,140.0,Solar PV - Single axis tracking,Solar - Solar,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,tier_3,0,
Burrenbring Wind Farm,DD,medium,DD region (Dalby corridor — judgement call),Burrenbring,360.0,Wind Turbine - Onshore,Wind - Wind,Iberdrola Australia Development Pty Limited,tier_1,0,
CQH2 Phase 1 - HPF,CQ,high,CQ corridor (Callide/Gladstone/Isaac),CQH2,500.0,Other - Other,Other,Stanwell Corporation Ltd,tier_1,0,
Callide B,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,350.0,Turbine - Steam Sub Critical,Black Coal,CS Energy,tier_1,0,
Callide C,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,424.0,Turbine - Steam Super Critical,Black Coal,Joint Venture; Callide Energy Pty Ltd and IG Power (Callide) Ltd. ,tier_3,0,
Callide Energy Hub - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,200.0,Storage - Battery,Other - Other,CSE BESS P/L,tier_3,0,
Callide Gas Peaker - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,750.0,Turbine - Other,Other - Other,CSE H2 Pty Ltd,tier_3,1,large_tier3
Callide Power Station BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,200.0,Storage - Battery,Other - Other,Edify Energy Pty Ltd,tier_2,0,
Callide Power Station Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,200.0,Solar PV - Fixed,Solar - Solar,Edify Energy Pty Ltd,tier_2,0,
Callide Solar Power Station BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,210.0,Storage - Battery,Other - Other,Edify Energy Pty Ltd,tier_2,0,
Callide Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,450.0,,Wind,DP Green Energy Pty Limited,tier_3,2,stale_proposed_4plus_releases
Callide Wind Farm - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Callide,450.0,Wind Turbine - Onshore,Wind - Wind, DP Energy Pty Ltd,tier_3,0,
Calliope BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Calliope,300.0,Other - Other,Other - Other,ekuenergy_nr,tier_3,1,owner_junk:_NR$; owner_junk:^[a-z]
Caloundra Renewable Energy Facility,WG,medium,Wide Bay region (judgement call),Caloundra,0.85,Reciprocating Engine - Spark ignition,Landfill Gas,LMS_NR,tier_3,1,owner_junk:_NR$
Calvale BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Calvale,500.0,Storage - Battery,Other - Other,Lightsource BP,tier_1,0,
Calvale LDES BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Calvale,450.0,Storage - Battery,Other - Other,Released Energy Pty Ltd,tier_3,0,
Calvale Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Calvale,500.0,Solar PV - Fixed,Solar - Solar,Lightsource BP,tier_1,0,
Cape York Battery Power Plant - Solar,FNQ,high,FNQ corridor (Townsville and north),Cape York,54.985,Solar PV - Single axis tracking,Solar,Lyon Solar,tier_3,0,
Cape York Battery Power Plant - Storage,FNQ,high,FNQ corridor (Townsville and north),Cape York,20.0,Storage - Battery,Other,Lyon Solar,tier_3,0,
Capricorn BESS - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Capricorn,704.0,Storage - Battery,Other - Other,ENEL Green Power Australia,tier_1,0,
Capricornia Energy Hub (CEH) PHES,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Capricorn,750.0,Storage - Pumped hydro,Hydro - Water,CI QLD PHES PTY LTD,tier_3,1,large_tier3
Captains Mountain Wind Farm,DD,high,Darling Downs corridor (Dalby/Bell),Captains Mountain,403.2,Wind Turbine - Onshore,Wind,vestas_NR,tier_1,1,stale_proposed_4plus_releases
Cattle Creek Wind Farm - KCI,FNQ,high,FNQ corridor (Townsville and north),Cattle Creek,798.0,Wind Turbine - Onshore,Wind - Wind,RWE Renewables Australia Pty Ltd,tier_1,1,stale_proposed_4plus_releases
Central Renewable Energy Zone BESS,Unclassified,review,No rule matched — manual review needed,,150.0,Storage - Battery,Other,Stanwell Corporation Ltd,tier_1,0,
Chalumbin Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Chalumbin,658.0,Wind Turbine - Onshore,Wind,ARK Energy Corporation Pty Ltd,tier_2,2,stale_proposed_4plus_releases
Chances Plain Solar Farm,Unclassified,review,No rule matched — manual review needed,,126.0,Solar PV - Single axis tracking,Solar,juwi Renewable Energy Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Childers Solar Farm,WG,medium,Wide Bay region (judgement call),Childers,64.38,Solar PV - Single axis tracking,Solar,Childers Solar Pty Ltd as trustee for the Childers Solar Trust,tier_3,0,
Chillamurra Solar Farm,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Chillamurra,3.6,Solar PV - Fixed,Solar,Chillamurra Solar Pty Ltd,tier_3,0,
Chinchilla BESS,WD,high,WD substation/Chinchilla corridor,Chinchilla,100.0,Storage - Battery,Other,CSE BESS Pty Ltd,tier_3,0,
Chinchilla Solar Farm,WD,high,WD substation/Chinchilla corridor,Chinchilla,113.16,Solar PV - Single axis tracking,Solar - Solar,First Solar Australia Pty Ltd,tier_3,0,
Chinchilla Solar Farm - First Solar,WD,high,WD substation/Chinchilla corridor,Chinchilla,113.16,Solar PV - Single axis tracking,Solar,First Solar Australia Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Churchill Abattoir,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Churchill Abattoir,0.91,Solar PV - Fixed,Solar,TBA,tier_3,0,
Clare Solar Farm,FNQ,high,FNQ corridor (Townsville and north),Clare Solar,110.4,Solar PV - Single axis tracking,Solar,Clare Asset Co Pty Ltd ATF Clare Asset Trust,tier_3,0,
Clarke Creek 2 BESS - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Clarke Creek,,Storage - Battery,Other - Other,Isaac Wind and Solar Energy Pty Ltd,tier_3,0,
Clarke Creek Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Clarke Creek,350.0,Solar PV - Single axis tracking,Solar,Pacific Hydro Australia Development Pty Ltd.,tier_3,2,stale_proposed_4plus_releases
Clarke Creek Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Clarke Creek,346.5,Wind Turbine - Onshore,Wind,Squadron Energy Services Pty Ltd,tier_1,0,
Clarke Creek Wind Farm Stage 2,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Clarke Creek,696.0,Wind Turbine - Onshore,Wind - Wind,Squadron Energy Services Pty Ltd,tier_1,0,
Clarke Creek Wind and Solar Farm - Solar,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Clarke Creek,200.0,Solar PV - Fixed,Solar,Squadron Energy,tier_1,1,stale_proposed_4plus_releases
Clarke Creek Wind and Solar Farm - Wind,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Clarke Creek,,Wind Turbine - Onshore,Wind,Lacour Energy,tier_3,0,
CleanCo Wind Farm (Small Mac),SD,medium,SD region (Millmerran/Inglewood corridor),CleanCo Wind,103.0,,Wind Turbine,ACCIONA Energy Australia Global Pty Ltd,tier_1,0,
CleanCo Wind Farm - KCI,SD,medium,SD region (Millmerran/Inglewood corridor),CleanCo Wind,102.6,Wind Turbine - Onshore,Wind - Wind, ACCIONA Energy Australia Global Pty Ltd,tier_1,0,
Clermont Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Clermont,92.5,Solar PV - Single axis tracking,Solar,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust,tier_3,0,
Collinsville Coal Fired Power Station Project,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Collinsville,990.0,,Other,Shine Energy,tier_3,2,manual_known_phantom
Collinsville Coal Fired Power Station Project - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Collinsville,990.0,Other - Other,Fossil - Black Coal, Shine Energy,tier_3,1,large_tier3
Collinsville Green Energy Hub,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Collinsville,2839.2,Wind Turbine - Onshore,Wind - Wind,COLLINSVILLE GREEN ENERGY HUB PTY LTD ,tier_3,2,manual_known_phantom
Collinsville North Battery Project,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Collinsville,150.0,Storage - Battery,Other,TBSOL,tier_3,2,stale_proposed_4plus_releases
Collinsville North Solar Project,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Collinsville,120.0,Solar PV - Fixed,Solar,Vena Energy,tier_1,0,
Collinsville PV,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Collinsville,42.5,Solar PV - Fixed,Solar,Ratch Australia,tier_2,0,
Colosseum Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Colosseum,400.0,Solar PV - Fixed,Solar - Solar,Global Power Generation Australia Pty Ltd,tier_3,0,
Columboola BESS,WD,high,WD substation/Chinchilla corridor,Columboola,700.0,Storage - Battery,Other,Columboola BESS Nominees Pty Ltd,tier_3,1,large_tier3
Columboola BESS - KCI,WD,high,WD substation/Chinchilla corridor,Columboola,400.0,Storage - Battery,Other - Other,StorEnergy P/L,tier_3,0,
Columboola Solar Farm,WD,high,WD substation/Chinchilla corridor,Columboola,217.25,Solar PV - Single axis tracking,Solar,Luminous Energy,tier_3,0,
Comet Energy Park,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Comet,120.0,Storage - Battery,Other - Other,Comet Energy Pty Ltd,tier_3,0,
Comet Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Comet,159.5,Solar PV - Single axis tracking,Solar,Comet Solar Farm Pty Ltd,tier_3,0,
Condamine A,WD,medium,Western Downs region (judgement call),Condamine A,87.4,Turbine - CCGT,Coal Seam Methane,QGC Sales QLD Pty Ltd,tier_3,0,
Coopers Gap Wind Farm,TG,high,Tarong corridor (Tarong PS/Kingaroy),Coopers Gap,330.33,Wind Turbine - Onshore,Wind,PARF Company 6 Pty Limited,tier_3,0,
Cooroy BESS,WG,high,Woolooga corridor (Gympie/Maryborough),Cooroy,100.0,Storage - Battery,Other - Other,Enervest Operations Pty Ltd,tier_3,0,
