state,sld_page,substation_name,substation_code,voltage_levels,connected_substations,generators_attached,notes
QLD,QLD-c,ALLIGATOR CREEK,T65,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,OONOOIE,T105,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,LOUISA CREEK,T176,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,PORTS,T192,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,WOTONGA,T221,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,EAGLE DOWNS,T215,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-c,MORAN PLAINS,T245,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,BROADSOUND,H20,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,NORWICH PARK,T111,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,CLERMONT,T71,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,BARCALDINE,T72,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,POWER STATION,T76,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,LILYVALE,H15,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,GREGORY,T97,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,BLACKWATER,T32,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,RANGAL,T102,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,BLUFF,T209,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,ROLLESTON,T163,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,ROCKHAMPTON,T23,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,BOULDERCOMBE,H10,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,ROCKLANDS,T100,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,EGANS HILL,T127,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,PANDOIN,T61,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,MEMOOLOO,T263,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,DURINGA,T210,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,LILLYVALE SF1,Z8,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,BUNDOORA,T244,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,EMERALD,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,EMERALD SF,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-d,COMET,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,BOAT CREEK,T130,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,YARWUN,T199,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,LARCOM CREEK,H58,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,RAGLAN,H73,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,GRANTLEIGH,T99,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,WYCARBAH,T211,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,STANWELL PS AUX,T104,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,STANWELL,H29,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,BARALABA,T31,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-e,CALLIOPE RIVER,H67,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,GLADSTONE NORTH,T74,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,WIGGINS ISLAND,T222,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,CALLEMONDAH,T101,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,GLADSTONE,T5,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,GLADSTONE SOUTH,T152,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,BOYNE ISLAND,H8,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,QAL WEST,T153,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,QAL SOUTH,T182,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-f,WURDONG,H40,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,DNOB,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,KORENAN,T120,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,MOURA,T27,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,BILOELA,T26,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,CALVALE,H24,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,CALLIDE A PS,T22,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,GRANITE CREEK,T166,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,BUNDABERG,T20,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,CALLIDE B PS,H30,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,CALLIDE C PS,H50,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,GIN GIN,H6,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,TEEBAR CREEK,H63,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,WOOLOOGA,H5,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,ARAMARA,T173,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,ISIS,T131,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,CLAYTON,T121,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,MARYBOROUGH,T59,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,KILKIVAN,T12,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,MUNGAR,T123,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,HOWARD,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,CHILDERS SF,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,SUSAN RIVER,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,TORQUAY,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-g,PIALBA,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,TARONG PS,H27,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,TARONG NORTH PS,H54,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,TARONG,H18,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,HALYS,S2,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,WIVVENHOE PS,H28,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,MT ENGLAND,H12,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,BEERWAH,SSBWH,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,SSBWH,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,PALMWOODS,H9,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,NAMBOUR,T16,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,IMAGE FLAT,T40,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,COOROY,T70,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,TRAVESTON,T124,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,COORAN,SSCOR,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,SSCOR,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-h,GYMPIE,T8,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSQR50,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,CABOOLTURE,T11,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,BLACKWALL,H36,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,GREENBANK,S3,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,HAYS INLET,SSHIL,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSHIL,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,BALD HILLS,SSQR42,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSQR42,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,NUDGEE,SSNGE,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSNGE,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SANDGATE,SSSGT,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSSGT,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,BRENDALE,SSBRD,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSBRD,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,GRIFFIN,SSGFN,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSGFN,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,STAFFORD,SSSFD,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSSFD,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SOUTH PINE,H2,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,UPPER KEDRON,H23,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,SSMTN,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,F913 SSMDH,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-i,F912 SSMDH,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,WESTERN DOWNS,S5,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,COLUMBOOLA,H77,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,APLNG,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,ORANA,H83,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,CHINCHILLA,T13,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,CONDABRI SOUTH,T218,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,TALINGA,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,CONDABRI CENTRAL,T217,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,CONDABRI NORTH,T216,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,CONDAMINE PS,T200,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,ROMA PS,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,ROMA,T83,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,KOGAN,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,CREEK PS,H52,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,BELLEVUE,T234,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,WANDOAN SOUTH,H76,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,WOLEEBEE,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,DINOUN,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,YULEBA NORTH,H79,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,CLIFFORD,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,EUROMBAH,H80,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,BLYTHDALE,H82,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,FAIRVIEW,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,COOPERS GAP,H60,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-j,COOPERS,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-k,BRAEMAR 2 PS,H48,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-k,BRAEMAR PS,H74,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-k,DARLING,,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-k,DOWNS PS,H071,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-k,BRAEMAR,R2,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
QLD,QLD-k,RUBY,T214,,,,connectivity + per-substation voltage not extractable from SLD text layer (graphical); name/page only
